Feature,Importance
categorical__Exterior1st_CemntBd,2.4390691232590154e-05
categorical__RoofStyle_Hip,2.4348897048520905e-05
categorical__Condition2_Norm,2.4262102472320288e-05
categorical__Electrical_FuseA,2.3879767969127035e-05
categorical__Exterior2nd_CmentBd,2.247550864830161e-05
categorical__PavedDrive_P,1.7784257340215778e-05
categorical__HouseStyle_2.5Unf,1.7183122039479723e-05
categorical__PavedDrive_Y,1.4941931056521194e-05
categorical__Exterior1st_WdShing,1.3549932643664389e-05
categorical__RoofStyle_Gambrel,1.2899234872908423e-05
categorical__Neighborhood_NWAmes,1.2619085750027619e-05
categorical__Fence_MnWw,1.194914211718633e-05
categorical__Exterior2nd_ImStucc,1.178657098355835e-05
categorical__Exterior1st_Wd Sdng,1.1340920115492747e-05
categorical__Neighborhood_Gilbert,1.1216935014512683e-05
categorical__Neighborhood_NridgHt,1.1143320405470056e-05
categorical__Heating_GasW,1.0428900010193414e-05
categorical__Exterior2nd_HdBoard,9.489484052933624e-06
categorical__Foundation_BrkTil,8.50231358373234e-06
categorical__BldgType_TwnhsE,6.2264111012187e-06
categorical__Condition2_Feedr,6.02620673106308e-06
numerical__LowQualFinSF,4.884915580238968e-06
categorical__RoofStyle_Shed,4.0246593924379786e-06
categorical__Exterior1st_Stucco,3.143572963249446e-06
categorical__GarageType_BuiltIn,3.0351617379299996e-06
categorical__Condition1_PosA,2.6604199047334778e-06
categorical__PavedDrive_N,2.4796528116725355e-06
categorical__Exterior1st_AsphShn,2.233573266885156e-06
categorical__RoofMatl_WdShngl,2.1804261957525157e-06
categorical__Electrical_SBrkr,1.54455453993354e-06
categorical__Foundation_Stone,1.4986483647171678e-06
categorical__Electrical_FuseF,1.2623372562091341e-06
categorical__SaleType_Con,1.2380540611940306e-06
categorical__RoofMatl_WdShake,1.1588560530198597e-06
categorical__Fence_GdPrv,8.694451235888588e-07
categorical__SaleCondition_AdjLand,6.547364357086466e-07
categorical__Condition1_RRAn,6.018211798814662e-07
categorical__Neighborhood_IDOTRR,3.001869612335668e-07
categorical__Exterior2nd_BrkFace,2.3417353705805376e-07
categorical__Functional_Min1,1.9331396472578286e-07
categorical__Heating_Grav,1.634801928367153e-07
categorical__HouseStyle_2.5Fin,4.490051159045624e-08
categorical__BldgType_Twnhs,8.085142305802745e-09
categorical__RoofMatl_ClyTile,2.534614525216309e-09
categorical__Condition2_Artery,0.0
categorical__Condition2_RRAn,0.0
categorical__Condition1_RRNe,0.0
categorical__Condition2_RRAe,0.0
categorical__Utilities_AllPub,0.0
categorical__Utilities_NoSeWa,0.0
categorical__Street_Pave,0.0
categorical__Street_Grvl,0.0
categorical__Neighborhood_BrDale,0.0
categorical__Condition1_RRNn,0.0
categorical__Neighborhood_Blueste,0.0
categorical__Neighborhood_NPkVill,0.0
categorical__HouseStyle_1.5Unf,0.0
categorical__Heating_OthW,0.0
categorical__Foundation_Slab,0.0
categorical__Exterior2nd_AsphShn,0.0
categorical__Exterior2nd_CBlock,0.0
categorical__Exterior2nd_Brk Cmn,0.0
categorical__Exterior2nd_Other,0.0
categorical__Exterior2nd_Stone,0.0
categorical__RoofMatl_Roll,0.0
categorical__RoofMatl_Metal,0.0
categorical__RoofMatl_CompShg,0.0
categorical__RoofStyle_Mansard,0.0
categorical__Exterior1st_CBlock,0.0
categorical__Exterior1st_BrkComm,0.0
categorical__RoofMatl_Tar&Grv,0.0
categorical__Exterior1st_Stone,0.0
categorical__HouseStyle_SFoyer,0.0
categorical__Heating_Floor,0.0
categorical__MiscFeature_TenC,0.0
categorical__MiscFeature_Gar2,0.0
categorical__Electrical_FuseP,0.0
categorical__Functional_Min2,0.0
categorical__Functional_Sev,0.0
categorical__GarageType_2Types,0.0
categorical__Heating_Wall,0.0
categorical__MiscFeature_Shed,0.0
categorical__MiscFeature_Othr,0.0
categorical__SaleType_Oth,0.0
categorical__SaleType_ConLw,0.0
categorical__SaleType_ConLI,0.0
ordinal__PoolQC,0.0
ordinal__GarageCond,0.0
